species_names
Actinopolymorpha cephalotaxi sp. nov.
Actinopolymorpha pittospori
Actinopolymorpha pittospori sp. nov.
Actinopolymorpha rutila
Actinopolymorpha rutila sp. nov.
Actinopolymorpha singaporensis
Actinopolymorpha singaporensis gen. nov.
Actinopolyspora alba
Actinopolyspora alba sp. nov.
Actinopolyspora algeriensis
Actinopolyspora biskrensis
Actinopolyspora erythraea
Actinopolyspora halophila
Actinopolyspora iraqiensis
Actinopolyspora iraqiensis sp. nov.
Actinopolyspora lacussalsi
Actinopolyspora mortivallis
Actinopolyspora mortivallis sp. nov.
Actinopolyspora mzabensis
Actinopolyspora righensis
Actinopolyspora saharensis
Actinopolyspora salinaria
Actinopolyspora salinaria sp. nov.
Actinopolyspora sp.
Actinopolyspora xinjiangensis
Actinorectispora indica
Actinorectispora indica gen. nov.
Actinorectispora metalli
Actinorectispora metalli sp. nov.
Actinorhabdospora filicis
Actinorhabdospora filicis gen. nov.
Actinorugispora endophytica
Actinorugispora endophytica gen. nov.
Actinospica acidiphila
Actinospica durhamensis
Actinospica robiniae
Actinospica robiniae gen. nov.
Actinosporangium violaceum
Actinosporangium vitaminophilum
Actinosporangium vitaminophilum sp. nov.
Actinosynnema mirum
Actinosynnema pretiosum
Actinosynnema pretiosum subsp. auranticum
Actinosynnema sp.
Actinotalea caeni
Actinotalea caeni sp. nov.
Actinotalea fermentans
Actinotalea ferrariae
Actinotalea solisilvae
Actinotalea solisilvae sp. nov.
Actinotalea sp.
Actinotignum sanguinis
Actinotignum schaalii
Actinotignum urinale
Acutalibacter muris
Acuticoccus kandeliae
Acuticoccus kandeliae sp. nov.
Acuticoccus mangrovi
Acuticoccus mangrovi sp. nov.
Acuticoccus sediminis
Acuticoccus sediminis sp. nov.
Acuticoccus yangtzensis
Adhaeribacter aerolatus
Adhaeribacter aerophilus
Adhaeribacter aerophilus sp. nov.
Adhaeribacter aquaticus
Adhaeribacter aquaticus gen. nov.
Adhaeribacter arboris
Adhaeribacter arboris sp. nov.
Adhaeribacter radiodurans
Adhaeribacter radiodurans sp. nov.
Adhaeribacter rhizoryzae
Adhaeribacter rhizoryzae sp. nov.
Adhaeribacter sp.
Adhaeribacter swui
Adhaeribacter swui sp. nov.
Adhaeribacter terrae
Adhaeribacter terrae sp. nov.
Adhaeribacter terreus
Adhaeribacter terreus sp. nov.
Adlercreutzia caecicola
Adlercreutzia caecimuris
Adlercreutzia equolifaciens
Adlercreutzia equolifaciens gen. nov.
Adlercreutzia equolifaciens subsp. celatus
Adlercreutzia hattorii
Adlercreutzia hattorii sp. nov.
Adlercreutzia mucosicola
Adlercreutzia muris
Adlercreutzia rubneri
Adlercreutzia rubneri sp. nov.
Advenella alkanexedens
Advenella alkanexedens sp. nov.
Advenella faeciporci
Advenella faeciporci sp. nov.
Advenella incenata
Advenella incenata gen. nov.
Advenella kashmirensis
Advenella kashmirensis subsp. methylica
Advenella mimigardefordensis
Advenella sp.
Aeoliella mucimassa
Aequoribacter fuscus
Aequorivita aestuarii
Aequorivita antarctica
Aequorivita aquimaris
Aequorivita capsosiphonis
Aequorivita capsosiphonis sp. nov.
Aequorivita crocea
Aequorivita echinoideorum
Aequorivita iocasae
Aequorivita iocasae sp. nov.
Aequorivita lipolytica
Aequorivita lutea
Aequorivita lutea sp. nov.
Aequorivita sinensis
Aequorivita sinensis sp. nov.
Aequorivita sp.
Aequorivita sublithincola
Aequorivita todarodis
Aequorivita viscosa
Aequorivita viscosa sp. nov.
Aequorivita vladivostokensis
Aeribacillus composti
Aeribacillus composti sp. nov.
Aeribacillus pallidus
Aeribacillus sp.
Aeriscardovia aeriphila
Aerococcus christensenii
Aerococcus sanguicola
Aerococcus sanguicola sp. nov.
Aerococcus sanguinicola
Aerococcus sp.
Aerococcus suis
Aerococcus suis sp. nov.
Aerococcus urinae
Aerococcus urinaeequi
Aerococcus urinaehominis
Aerococcus urinaehominis sp. nov.
Aerococcus vaginalis
Aerococcus vaginalis sp. nov.
Aerococcus viridans
Aeromicrobium alkaliterrae
Aeromicrobium alkaliterrae sp. nov.
Aeromicrobium camelliae
Aeromicrobium camelliae sp. nov.
Aeromicrobium chenweiae
Aeromicrobium chenweiae sp. nov.
Aeromicrobium choanae
Aeromicrobium choanae sp. nov.
Aeromicrobium endophyticum
Aeromicrobium endophyticum sp. nov.
Aeromicrobium erythreum
Aeromicrobium flavum
Aeromicrobium flavum sp. nov.
Aeromicrobium ginsengisoli
Aeromicrobium ginsengisoli sp. nov.
Aeromicrobium halocynthiae
Aeromicrobium halocynthiae sp. nov.
Aeromicrobium halotolerans
Aeromicrobium lacus
